page_id_from    page_title_from page_id_to      page_title_to
12	Anarchism	15497820	Collectivist anarchist
12	Anarchism	42174595	Comintern
12	Anarchism	2318057	Common ownership
12	Anarchism	233411	Communards
12	Anarchism	999521	Commune
12	Anarchism	37008	Communist party
12	Anarchism	265557	Communist Party of Germany
12	Anarchism	273633	Communist Party of Spain
12	Anarchism	1052692	Comstockery
12	Anarchism	673550	Confederacion General del Trabajo de EspaÃ±a
12	Anarchism	11655232	ConfederaciÃ³n Nacional del Trabajo
12	Anarchism	1883135	ConfÃ©dÃ©ration nationale du travail
12	Anarchism	884309	Confiscation
12	Anarchism	37385	Conservative
12	Anarchism	20684316	Contemporary anarchism
12	Anarchism	302252	Council communism
12	Anarchism	144633	Counterculture
12	Anarchism	8544676	Counterculture of the 1960s
12	Anarchism	4821491	Counter-economics
12	Anarchism	5870424	Crass
12	Anarchism	222427	Crypto-anarchism
12	Anarchism	19187131	Cynicism (philosophy)
12	Anarchism	30871669	Daniel GuÃ©rin
12	Anarchism	1292447	David Graeber
12	Anarchism	2830084	Decentralised
12	Anarchism	8142790	Definitional concerns in anarchist theory
12	Anarchism	49875423	Demanding the Impossible: A History of Anarchism
12	Anarchism	1107734	Deschooling
12	Anarchism	210549	Development criticism
12	Anarchism	42976903	Dictatorship of the proletariat
12	Anarchism	8626465	Dielo Truda
12	Anarchism	308392	Diggers
12	Anarchism	52618582	Diogenes of Sinope
12	Anarchism	40678568	Direct action
12	Anarchism	95816	Direct democracy
12	Anarchism	27572122	Divine authority
12	Anarchism	264094	Dorothy Day
12	Anarchism	3319592	Dwight Macdonald
12	Anarchism	10030	Edmund Burke
12	Anarchism	9824	Edna St. Vincent Millay
12	Anarchism	20264216	Egoist anarchism
12	Anarchism	2100109	Eight-hour day
12	Anarchism	928053	ElisÃ©e Reclus
12	Anarchism	444409	El PaÃ­s
12	Anarchism	13589193	Emile Armand
12	Anarchism	9764	Emma Goldman
12	Anarchism	153029	Empress Elisabeth of Austria
12	Anarchism	21756313	Encarta
12	Anarchism	72624	EncyclopÃ¦dia Britannica Eleventh Edition
12	Anarchism	9508	EncyclopÃ¦dia Britannica
12	Anarchism	9709	English Civil War
12	Anarchism	1664627	Enlightened self-interest
12	Anarchism	1159350	EnragÃ©s
12	Anarchism	30873222	Erich MÃ¼hsam
12	Anarchism	90700	Errico Malatesta
12	Anarchism	393256	Ã‰tienne de La BoÃ©tie
12	Anarchism	28046140	Eugene Varlin
12	Anarchism	22899168	European individualist anarchism
12	Anarchism	2283520	Ezra Heywood
12	Anarchism	28204213	Facing the Enemy
12	Anarchism	18247344	Far-left politics
12	Anarchism	6028755	Far-right leagues
12	Anarchism	11054	Fascism
12	Anarchism	17546747	Fascism in Europe
12	Anarchism	45137597	February Revolution
12	Anarchism	596172	FederaciÃ³n Anarquista IbÃ©rica
12	Anarchism	14021850	FederaciÃ³n Obrera Regional Argentina
12	Anarchism	49227409	Federal Democratic Republican Party
12	Anarchism	46835	Federalist
12	Anarchism	37495267	FÃ©dÃ©ration anarchiste
12	Anarchism	28378606	FÃ©dÃ©ration Anarchiste
12	Anarchism	1504343	Federation of Organized Trades and Labor Unions
12	Anarchism	51293891	Federazione Anarchica Italiana
12	Anarchism	11185	Feminism
12	Anarchism	41338940	Feminist movement
12	Anarchism	7736025	Fernando Tarrida del MÃ¡rmol
12	Anarchism	1389427	Foundation for Economic Education
